Time,Input,Output
1.48E-06,0,0
1.48E-06,-0.020833334,-0.020833334
1.48E-06,0,0
1.48E-06,0,0
1.48E-06,0,0
1.49E-06,0,0
1.49E-06,0,0
1.49E-06,0,-0.020833334
1.49E-06,0,0
1.49E-06,-0.020833334,0
1.50E-06,0,0
1.50E-06,0,-0.020833334
1.50E-06,0,0
1.50E-06,0,0
1.50E-06,0,0
1.51E-06,0,-0.020833334
1.51E-06,0,0
1.51E-06,0,-0.020833334
1.51E-06,-0.020833334,0
1.51E-06,0,-0.020833334
1.52E-06,0,0
1.52E-06,0,0
1.52E-06,0,-0.020833334
1.52E-06,0,-0.020833334
1.52E-06,-0.020833334,0
1.53E-06,-0.020833334,-0.020833334
1.53E-06,0,0
1.53E-06,0,-0.020833334
1.53E-06,0,0
1.53E-06,0,-0.020833334
1.54E-06,0,0
1.54E-06,-0.020833334,0
1.54E-06,0,-0.020833334
1.54E-06,-0.020833334,0
1.54E-06,0,0
1.55E-06,0.020833334,-0.020833334
1.55E-06,0,0
1.55E-06,0,0
1.55E-06,0,0
1.55E-06,0,0
1.56E-06,-0.020833334,-0.020833334
1.56E-06,0,-0.020833334
1.56E-06,0.020833334,0
1.56E-06,0,0
1.56E-06,-0.020833334,0
1.57E-06,-0.020833334,-0.020833334
1.57E-06,0,0
1.57E-06,0.020833334,0
1.57E-06,0,0
1.57E-06,0,-0.020833334
1.58E-06,0,0
1.58E-06,0,0
1.58E-06,0,0
1.58E-06,0,0
1.58E-06,0,0
1.59E-06,0,0
1.59E-06,-0.020833334,0
1.59E-06,-0.020833334,0
1.59E-06,0,0
1.59E-06,0,0
1.60E-06,0,0
1.60E-06,-0.020833334,0
1.60E-06,0,-0.020833334
1.60E-06,0,-0.020833334
1.60E-06,0,0
1.61E-06,0,0
1.61E-06,0,0
1.61E-06,0,0
1.61E-06,-0.020833334,0
1.61E-06,-0.020833334,-0.020833334
1.62E-06,0,0
1.62E-06,-0.020833334,-0.020833334
1.62E-06,0,0
1.62E-06,0,0
1.62E-06,0,0
1.63E-06,-0.020833334,0
1.63E-06,0,0
1.63E-06,-0.020833334,0
1.63E-06,0,0.020833334
1.63E-06,-0.020833334,0
1.64E-06,0,0
1.64E-06,-0.020833334,-0.020833334
1.64E-06,-0.020833334,0
1.64E-06,0,0
1.64E-06,0,0
1.65E-06,-0.020833334,0
1.65E-06,0,0
1.65E-06,0,0
1.65E-06,0,0
1.65E-06,0,0
1.66E-06,0.020833334,0
1.66E-06,0,-0.020833334
1.66E-06,0,0
1.66E-06,0,-0.020833334
1.66E-06,-0.020833334,0
1.67E-06,0,-0.020833334
1.67E-06,-0.020833334,-0.020833334
1.67E-06,-0.020833334,-0.020833334
1.67E-06,0,-0.020833334
1.67E-06,0,0
1.68E-06,-0.020833334,0
1.68E-06,-0.020833334,-0.020833334
1.68E-06,0,0
1.68E-06,0,-0.020833334
1.68E-06,-0.020833334,0
1.69E-06,-0.020833334,0
1.69E-06,0,0
1.69E-06,0,-0.020833334
1.69E-06,-0.020833334,0
1.69E-06,0,-0.020833334
1.70E-06,0,0
1.70E-06,0,-0.020833334
1.70E-06,-0.020833334,0
1.70E-06,-0.020833334,0
1.70E-06,0,0
1.71E-06,0,-0.020833334
1.71E-06,0,-0.020833334
1.71E-06,0,0
1.71E-06,0,0
1.71E-06,0,-0.020833334
1.72E-06,-0.020833334,0
1.72E-06,-0.020833334,-0.020833334
1.72E-06,0,0
1.72E-06,0,-0.020833334
1.72E-06,0,0
1.73E-06,-0.020833334,-0.020833334
1.73E-06,0,0
1.73E-06,0,-0.020833334
1.73E-06,0,0
